,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
139,Zika Antic,Kise jesenje,3yR6zNE9MmPEdZArydkEeC,0,0.153,0.588,246294,0.615,1.51e-06,10,0.0803,-9.608,1,0.048,86.457,4,0.542
140,Zika Antic,Kad je ljubav umirala,6Kl4kRscFC3i4LRByGhcqH,0,0.362,0.689,236182,0.57,0.000136,2,0.277,-8.649,0,0.0411,104.948,4,0.748
141,Zika Antic,Kad ja krenem,3DTpy9aNwPC3G9gCThXXss,0,0.257,0.706,229360,0.711,0.0,4,0.314,-14.3,1,0.0512,85.071,4,0.812
142,Zika Antic,Jesenji rastanci,5R2JZxFIajmxE8MeNNVEPh,0,0.493,0.606,247289,0.611,0.0,9,0.0867,-8.712,1,0.0816,91.927,4,0.806
143,Zika Antic,Između tebe i mene,3xfv2Rj6C0uL5mjBOpBX1S,0,0.197,0.785,234293,0.504,2.45e-06,0,0.306,-15.537,0,0.0365,114.185,4,0.489
144,Zika Antic,Izgubljeni sjaj,2J77x5bT2NFuGOQYaUXBfp,0,0.75,0.391,206799,0.493,0.0,5,0.515,-10.113,0,0.0464,183.343,4,0.726
145,Zika Antic,"Eto, tako je",5JC6dKSmStKpDSqOjmOh1r,0,0.66,0.36,218110,0.431,1.3e-06,0,0.191,-9.507,1,0.0596,168.369,4,0.534
146,Zika Antic,"Ej, zivote moj",7dc1D20l3kCZ2YbjMADsHL,0,0.616,0.581,243005,0.479,0.0,10,0.327,-10.2,1,0.0456,129.623,4,0.629
147,Zika Antic,Eh da Imam Krila,3yeierOb5EjUHSYv8uw6QF,4,0.227,0.586,187847,0.839,0.0,2,0.263,-9.89,1,0.0405,99.727,4,0.961
148,Zika Antic,E moj stari bivši druže,1HIIOLZPbZxuIhTulmw8sA,0,0.0894,0.658,218667,0.764,2.87e-06,0,0.0618,-12.841,1,0.0406,126.258,4,0.871
149,Zika Antic,Dva brata,5jipP2c6ADDxZ4Qqwv9VQu,0,0.371,0.592,198000,0.685,1.58e-06,7,0.163,-13.478,0,0.0509,200.178,4,0.837
150,Zika Antic,"A, ja zivim kako zivim",6CV4itI8LJxkMe46aN42Z0,0,0.601,0.548,183655,0.45,1.1e-06,6,0.424,-10.22,1,0.18,169.204,4,0.946
151,Zika Antic,A drugu nisam voleo,50G7Qhbagzbhdsj3hjT9Uh,0,0.732,0.51,139743,0.577,0.0,5,0.505,-9.306,1,0.0576,82.465,4,0.685
152,Zander Marsh,Vibrant Oceans,5yudmaMjnZRSWPrSwBWetI,13,0.748,0.394,362125,0.256,0.904,7,0.101,-22.058,0,0.0319,140.917,4,0.339
153,Zander Marsh,Universe of Probability,6qUeLQFBKXXAN5RJIocH6D,13,0.933,0.534,406164,0.276,0.879,6,0.124,-19.733,1,0.0581,91.181,4,0.272
154,Zander Marsh,Summer Hibernation,5mVewW879tShERvx51gVuB,12,0.0267,0.62,373134,0.271,0.794,1,0.196,-23.397,1,0.0566,94.131,4,0.13
